Survived,Pclass,Age,SibSp,Parch,Fare,CabinKnown,FamilySize,IsAlone,Sex_male,Embarked_Q,Embarked_S,Title_Col,Title_Don,Title_Dr,Title_Jonkheer,Title_Lady,Title_Major,Title_Master,Title_Miss,Title_Mlle,Title_Mme,Title_Mr,Title_Mrs,Title_Ms,Title_Rev,Title_Sir,Title_the Countess,AgeGroup_Teen,AgeGroup_Adult,AgeGroup_Middle_Aged,AgeGroup_Senior,Cluster
0,3,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0,0.0591598766636176,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
1,1,0.6638610320657843,0.4327933656785018,-0.4736736092984604,0.7868452935884461,1,0.0591598766636176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,3,-0.2583370877897099,-0.4745451962498395,-0.4736736092984604,-0.4888542575852486,0,-0.5609748304808925,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,0.4207302360686478,1,0.0591598766636176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,3,0.4333115021019107,-0.4745451962498395,-0.4736736092984604,-0.4863374216869257,0,-0.5609748304808925,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,3,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,-0.4781164289086437,0,-0.5609748304808925,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,1,1.893458525206443,-0.4745451962498395,-0.4736736092984604,0.395813560675251,1,-0.5609748304808925,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
0,3,-2.1027333275006983,2.247470489535184,0.7676298785983874,-0.2240831210816794,0,1.919563998097148,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-0.1814872444684187,-0.4745451962498395,2.008933366495236,-0.4242561406845337,0,0.6792945838081278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,2,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.0429555020886142,0,0.0591598766636176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
